Department_Sales,Department_Research & Development,Department_Human Resources,EducationField_Life Sciences,EducationField_Other,EducationField_Medical,EducationField_Marketing,EducationField_Technical Degree,EducationField_Human Resources,JobRole_Healthcare Representative,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Human Resources,JobRole_Research Director,JobRole_Laboratory Technician,JobRole_Manufacturing Director,JobRole_Sales Representative,JobRole_Manager,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Divorced,WorkLifeBalance_at_least_1.0,WorkLifeBalance_at_least_2.0,WorkLifeBalance_at_least_3.0,EnvironmentSatisfaction_at_least_1.0,EnvironmentSatisfaction_at_least_2.0,EnvironmentSatisfaction_at_least_3.0,JobSatisfaction_at_least_1.0,JobSatisfaction_at_least_2.0,JobSatisfaction_at_least_3.0,JobInvolvement_at_least_1,JobInvolvement_at_least_2,JobInvolvement_at_least_3,PerformanceRating_at_least_1,PerformanceRating_at_least_2,PerformanceRating_at_least_3,JobLevel_at_least_1,JobLevel_at_least_2,JobLevel_at_least_3,JobLevel_at_least_4,Education_at_least_1,Education_at_least_2,Education_at_least_3,Education_at_least_4,StockOptionLevel_at_least_1,StockOptionLevel_at_least_2,StockOptionLevel_at_least_3,NumCompaniesWorked,TotalWorkingYears,Age,DistanceFromHome,MonthlyIncome,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Travel,Frequently,Female,Attrition1,Attrition2
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1111111111111111,0.025,0.7857142857142857,0.17857142857142858,0.6375460768825698,0,1,0.025,0,0,1,0,1,-1,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.15,0.30952380952380953,0.32142857142857145,0.1674565560821485,0.8571428571428571,0.5,0.125,0.06666666666666667,0.23529411764705882,1,1,1,1,1
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0.1111111111111111,0.125,0.3333333333333333,0.5714285714285714,0.9646656134807794,0.2857142857142857,0.3333333333333333,0.125,0,0.17647058823529413,1,1,0,-1,0
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0.3333333333333333,0.325,0.47619047619047616,0.03571428571428571,0.38504476040021063,0,0.8333333333333334,0.2,0.4666666666666667,0.29411764705882354,0,0,0,-1,0
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.4444444444444444,0.225,0.3333333333333333,0.32142857142857145,0.07019483938915219,0.07142857142857142,0.3333333333333333,0.15,0,0.23529411764705882,1,0,0,-1,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0.3333333333333333,0.7,0.6666666666666666,0.25,0.16124275934702476,0.14285714285714285,0.8333333333333334,0.175,0.4666666666666667,0.4117647058823529,1,0,1,-1,0
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0.2222222222222222,0.125,0.23809523809523808,0.35714285714285715,0.25297525013164823,0.6428571428571429,0.3333333333333333,0,0,0,1,0,0,1,1
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0.2222222222222222,0.25,0.2619047619047619,0.6071428571428571,0.11237493417588204,0.7857142857142857,0.3333333333333333,0,0,0,1,0,0,-1,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0.25,0.30952380952380953,0,0.054502369668246446,0.7142857142857143,0.3333333333333333,0.225,0.4666666666666667,0.47058823529411764,1,0,0,-1,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0.1111111111111111,0.15,0.16666666666666666,0.21428571428571427,0.6558715113217483,0.14285714285714285,0.3333333333333333,0.15,0.06666666666666667,0.29411764705882354,0,0,1,-1,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0.525,0.6428571428571429,0.5714285714285714,0.36766719325961034,0.14285714285714285,0.3333333333333333,0.5,0.26666666666666666,0.5882352941176471,1,0,0,-1,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.4,0.42857142857142855,0.9642857142857143,0.12469720905739863,0.07142857142857142,0.3333333333333333,0.375,0.6666666666666666,0.6470588235294118,1,0,0,-1,0
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0.925,0.8809523809523809,0.4642857142857143,0.23849394418114797,0.42857142857142855,0.3333333333333333,0.9,0.26666666666666666,0.7647058823529411,1,0,1,-1,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.1111111111111111,0.25,0.6904761904761905,0,0.25028962611901,0,0.6666666666666666,0.25,0.6,0.5294117647058824,0,0,0,1,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.1111111111111111,0.125,0.23809523809523808,0,0.08335966298051606,0.21428571428571427,0.3333333333333333,0.125,0,0.23529411764705882,1,0,0,-1,0
